"foreign_language","race","sex","wealth","educ","log_wealth","log_educ"
0,1,2,1349000,15,14.1148741351899,2.70805020110221
0,1,2,795150,19,13.5862860550841,2.94443897916644
0,1,2,823000,18,13.6207114796592,2.89037175789616
0,1,2,886001,19,13.6944733582548,2.94443897916644
0,1,1,3215750,19,14.983571169941,2.94443897916644
0,1,1,141000,12,11.8565151693603,2.484906649788
0,1,2,128000,16,11.7597855429018,2.77258872223978
0,1,2,803,14,6.68835471394676,2.63905732961526
0,1,2,1073000,16,13.8859690216128,2.77258872223978
1,1,1,87000,15,11.3736633976367,2.70805020110221
0,1,2,223000,15,12.3149270504423,2.70805020110221
0,1,1,283000,17,12.5532021766254,2.83321334405622
0,1,1,201500,14,12.2135446603689,2.63905732961526
0,1,2,311000,19,12.6475481911614,2.94443897916644
0,1,1,225000,19,12.3238556811866,2.94443897916644
0,1,1,204000,16,12.2258752728264,2.77258872223978
0,1,2,16449398,15,16.6157994387613,2.70805020110221
0,0,1,107300,13,11.5833839286188,2.56494935746154
0,1,2,1309500,16,14.0851559429299,2.77258872223978
0,1,1,472000,20,13.0647342645677,2.99573227355399
0,1,2,350,12,5.85793315448346,2.484906649788
0,1,1,3600,12,8.1886891244442,2.484906649788
0,1,1,4684937,16,15.3598630263924,2.77258872223978
0,1,1,492400,14,13.1070466732924,2.63905732961526
0,1,2,838000,12,13.6387733794642,2.484906649788
0,1,1,757000,16,13.5371185324196,2.77258872223978
0,1,1,1064000,16,13.8775459488837,2.77258872223978
0,1,2,4740,16,8.46379241468912,2.77258872223978
0,1,1,539000,12,13.1974708498911,2.484906649788
0,1,1,53800,12,10.8930287461499,2.484906649788
0,1,2,345000,12,12.7512996960135,2.484906649788
0,1,1,463000,16,13.0454823330684,2.77258872223978
0,1,2,130200,12,11.7768270087566,2.484906649788
0,1,2,1694857,16,14.343108929456,2.77258872223978
0,1,1,200000,14,12.2060726455302,2.63905732961526
0,1,1,219000,12,12.2968270087986,2.484906649788
0,1,1,111000,13,11.6172854802945,2.56494935746154
0,1,2,485000,12,13.0919041699196,2.484906649788
0,1,1,351700,18,12.7705338184621,2.89037175789616
0,1,1,614200,16,13.3280758869889,2.77258872223978
0,1,1,1875000,13,14.4441192173866,2.56494935746154
0,1,2,283000,12,12.5532021766254,2.484906649788
0,1,2,707000,12,13.4687859448787,2.484906649788
0,1,1,192000,12,12.1652506510099,2.484906649788
0,1,2,1400,12,7.24422751560335,2.484906649788
0,1,2,872000,16,13.6785447028911,2.77258872223978
0,1,1,242000,13,12.3966930051388,2.56494935746154
0,1,1,128000,12,11.7597855429018,2.484906649788
0,1,1,1930500,14,14.4732895946864,2.63905732961526
0,1,1,16449398,15,16.6157994387613,2.70805020110221
1,1,1,2379000,16,14.6821907892851,2.77258872223978
0,1,2,858748,18,13.6632307935495,2.89037175789616
0,1,2,540000,12,13.1993244185405,2.484906649788
0,1,1,195000,12,12.1807548375459,2.484906649788
0,1,2,583500,12,13.2767997307087,2.484906649788
0,1,2,44000,12,10.6919449129004,2.484906649788
0,1,2,1627000,20,14.3022483862012,2.99573227355399
0,1,2,476000,18,13.0731731332136,2.89037175789616
0,1,1,782000,12,13.5696100195274,2.484906649788
0,1,2,536700,16,13.1931945581649,2.77258872223978
0,1,2,37000,12,10.5186731916264,2.484906649788
0,1,2,567700,12,13.2493483891588,2.484906649788
0,1,1,4200,16,8.34283980427146,2.77258872223978
0,1,1,53000,14,10.8780471925343,2.63905732961526
0,1,1,663200,12,13.4048318828032,2.484906649788
